bar|n. 棒；条状物；（门、窗的）闩；酒吧；栅栏
anatomy|n. 解剖学；解剖；解剖体组织构造
epidemic|n. 流行病；adj. 流行性的
gene|n. 基因
germ|n. 病菌；萌芽
bacteria|n. 细菌；“bacterium”的复数
virus|n. 病毒
microbe|n. 微生物
metabolism|n. 新陈代谢
protein|n. 蛋白质
vitamin|n. 维生素；维他命
secrete|v. 分泌；隐藏；隐匿
excrete|v. 排泄；分泌
devour|v. 吞食；吞噬；狼吞虎咽地吃；如饥似渴地看
instinct|n. 本能；直觉
intuitive|adj. 直觉的
potential|n. 潜力；adj. 潜在的；可能的
intelligence|n. 智力；才智；情报
functional|adj. 功能的；实用的；起作用的
sensitive|adj. 敏感的；感情脆弱的；体贴的；善解人意的
flexible|adj. 灵活的；柔韧的
acoustic|adj. 声音的；音响的；听觉的；原声的
optical|adj. 视觉的；光学的
nocturnal|adj. 夜间活动的；夜间发生的
dormant|adj. 休眠的；蛰伏的；暂停活动的
hibernation|n. 冬眠
track|n. 轨道；踪迹；小路；跑道；v. 追踪；跟踪
trace|n. 痕迹；轨迹；微量；追踪；v. 追踪；追溯；仔细查找；描摹
alternate|adj. 交替的；轮流的；间隔的；v. （使）交替；（使）轮流；n. 代替者；候补者
prey|n. 猎物；受害者；受骗者；v. 捕食；坑害；折磨
predator|n. 掠夺者；捕食性动物；食肉动物
victim|n. 受害者
captive|n. 俘虏；adj. 被俘的，被监禁的；受控的
defensive|adj. 防卫的；防御的；辩护的；n. 守势；辩护
undergo|v. 经受；经历；遭受
suffer|v. 遭受；忍受
vulnerable|adj. 脆弱的；易受伤的
subsistence|n. 生存；生计；生活
exist|v. 存在；生存；活着
exterminate|v. 消灭；灭绝；根除
tame|adj. 驯化的；温顺的；枯燥无味的；v. 驯养；制服；控制
keeper|n. 看守人；饲养员；管理人
shepherd|n. 牧羊人；牧师；指导者；v. 照看；引领
galaxy|n. 星系；银河；银河系；一群出色的人（或物）
cosmos|n. 宇宙
universe|n. 宇宙
interstellar|adj. 星际的
terrestrial|adj. 陆地的；地球的；类似地球的；陆栖的
celestial|adj. 天空的；天体的；天国的
astronomy|n. 天文学
astrology|n. 占星术；占星学
astronaut|n. 宇航员；太空人
comet|n. 彗星
meteorite|n. 陨石；陨星
crater|n. 火山口；弹坑
dust|n. 粉尘；尘埃；v. 擦去…的灰尘
ash|n. 灰
envelope|n. 信封
chunk|n. 厚块；大片
spacecraft|n. 航天器；宇宙飞船
spaceship|n. 宇宙飞船；太空船
probe|n. 探针；探测器；探究；v. 探究；探查
module|n. 模块；组件；单元；功能块；舱
propulsion|n. 推进；推动力
pressure|n. 压力；压强；压迫；v. 对…施加压力
dynamics|n. 动力学；动态学
motion|n. 运动；动作；提议
vent|n. 排气口；发泄；表达；v. 排放；发泄；表达
tail|n. 尾巴；尾随者；v. 跟踪
curve|n. 曲线；弯曲；v. （使）弯成弧形
exploration|n. 探索；勘探；探险
expedition|n. 远征；探险；探险队；短途旅行；迅速
flyby|n. 飞越
observatory|n. 天文台；气象台
telescope|n. 望远镜
spectacle|n. 景象；奇观；场面；眼镜
orbit|n. 轨道；v. 绕...轨道而行
ecliptic|n. 黄道；adj. 黄道的
diameter|n. 直径
radius|n. 半径；范围
substance|n. 物质；物品；实质；主旨；要点
composition|n. 构成；作品，作曲；（学生）作文；创作技巧
compound|n. 化合物；大院；adj. 复合的；混合的；v. 使复杂化；加重
fossil|n. 化石；守旧的事物
sample|n. 样品；样本；v. 尝试，体验；抽样；节录
specimen|n. 标本；样品
particle|n. 微粒；粒子
molecule|n. 分子
atom|n. 原子
ion|n. 离子
electron|n. 电子
quantum|n. 量子
liquid|n. 液体；adj. 液体的；液态的
fluid|n. 流体；流质；adj. 流动的
solid|n. 固体；立体图形；adj. 固体的；坚固的；可靠的
synthesise|v. 合成；综合
formation|n. 形成；排列方式
method|n. 方法；办法
spectrum|n. 范围；幅度；光谱；波谱
dimension|n. 尺寸；维度
frequency|n. 频率；频数；频繁
signal|n. 信号；标志；v. 用信号通知
antenna|n. 触角；天线
circuit|n. 回路；环行；电路；巡回；v. 环行
refraction|n. 折光；折射
ultraviolet|adj. 紫外的；紫外线的；n. 紫外线辐射；紫外光
radioactive|adj. 放射性的
distinct|adj. 有区别的；清晰的；明显的
discernible|adj. 可辨别的
invisible|adj. 看不见的；无形的
collision|n. 碰撞；冲突
squash|v. 把…压扁（或压坏）；（使）挤进；制止；n. 拥挤；壁球
fragment|n. 碎片；断片；片段；v. （使）成碎片；（使）分裂
cataclysmic|adj. 灾难性的；大变动的
overwhelming|adj. 势不可挡的；压倒的；无法抗拒的；v. 淹没；覆盖；压倒；控制；“overwhelm”的现在分词
despair|v. 绝望；n. 绝望
desperate|adj. 绝望的；不顾一切的；拼死的；极度渴望的
hopeless|adj. 绝望的
education|n. 教育
primary|adj. ¸初的；首要的；初等的；小学的；原来的
secondary|adj. 第二的，次要的；中等的
university|n. 大学
college|n. 学院；大学
institute|n. 协会；学院；研究所；机构；v. 建立；制定；开创；开始
academy|n. 学院
learn|v. 学习
study|v. 学习；研究；n. 学习；研究；书房
acquire|v. 获得；得到；学会
knowledge|n. 知识；了解；学问；学识
expertise|n. 专门技能；专门知识
novice|n. 新手；初学者；新信徒
recruit|v. 征募；招收；招聘；n. 新兵；新成员
